_id,init,boxName,COLLECTION,size,price,description,totalLimit,BoxCategories[0],image
695cd8f0e0f1a0fd028de667,ok,,,,,,,,
6949147b07de7afd185462f2,,BOX OF 16,Make your Own,16,1549,"Centre Filled Chocolates                    The box contains 16 pieces as per your selection of bon bon, truffles and pralines. ",16, MYO (MAKE YOUR OWN),/images/bonbon/E-com/CREATIVE16.webp
6949147b07de7afd185462f3,,BOX OF 21,Make your Own,21,2049,"Centre Filled Chocolates                    The box contains 21 pieces as per your selection of bon bon, truffles and pralines. ",21, MYO (MAKE YOUR OWN),/images/bonbon/E-com/CREATIVE21.webp
6949147b07de7afd185462f4,,BOX OF 24,Make your Own,24,2349,"Centre Filled Chocolates                    The box contains 24 pieces as per your selection of bon bon, truffles and pralines. ",24, MYO (MAKE YOUR OWN),/images/bonbon/E-com/CREATIVE24.webp
