_id,name,description,category,price,isAvailable,weight,image
69490fa907de7afd185462c2,CHOCO HAZLENUT BLISS,Our home made version of chocolate hazelnut spread with goodness of hazelnut and creamy chocolate ,CENTERFILLED TABLET,499,TRUE,70G,/images/bonbon/soulliqo/Choco-Hazelnut-Bliss.webp
69490fa907de7afd185462c5,TURKISH PISTACHIO DELIGHT,Fusion of traditional katifi with creamy pistachio praline nestled between layers of milk chocolate,CENTERFILLED TABLET,499,TRUE,70G,/images/bonbon/soulliqo/Turkish-Pistachio-Delight.webp
69490fa907de7afd185462c6,SEA SALT CARAMEL,Classic caramel combined with sea salt encased in our signature caramelized milk dark chocolate,CENTERFILLED TABLET,349,TRUE,70G,/images/bonbon/soulliqo/SEASALT.webp
69490fa907de7afd185462c7,MANGO & PASSION FRUIT,Tropical sensation meticulously crafted to captivate senses offering perfect balance of tropical sweetness and refreshing fruitness,CENTERFILLED TABLET,449,TRUE,70G,/images/bonbon/soulliqo/Mango & Passion Fruit.webp
69490fa907de7afd185462c8,ALMOND NOUGAT,"Power of almonds, smooth creamy milk chocolate combined with alomond praline and caramelized almond crunch encased in milk chocolate",CENTERFILLED TABLET,399,TRUE,70G,/images/bonbon/soulliqo/ALMONDNOUGAT.webp
69490fa907de7afd185462c9,STRAWBERRY BLUSH,"Lovers Paradise. A fruity blend of strawberry delicately blended with cream and white chocolate, harmoniously evoking its freshness encased in milk chocolate",CENTERFILLED TABLET,399,TRUE,70G,/images/bonbon/soulliqo/STRAWBERRYBLUSH.webp
69490fa907de7afd185462ca,CLASSIC BISCOFF,"For the craving of biscoff, crunchy house special speculoos cookies along with speculoos spread combined with perfection with a touch of cinnamon encased in milk chocolate",CENTERFILLED TABLET,399,TRUE,70G,/images/bonbon/soulliqo/CLASSICBISCOFF.webp
69490fa907de7afd185462cb,INDIAN FILTER COFFEE,Filter coffee from the estates of Chikmangloor infused in creamy caramelized milk chooclate resulting in smooth filter coffee ganache with a touch of orange encased in dark chocolate,CENTERFILLED TABLET,449,TRUE,70G,/images/bonbon/soulliqo/INDIANFILTERCOFFEE.webp
69490fa907de7afd185462cc,MOCHA CAPPUCCINO,Curated for coffee lovers. A delicate delight with combination of medium roastd arabica beans and smooth milk chocolate,CENTERFILLED TABLET,499,TRUE,70G,/images/bonbon/soulliqo/Mocha-Cappuccino.webp
6954f9534587979f3b99d658, Ghana 50% Dark," 56% Dark Chocolate from Ghana origin combined with cream, crafted to perfection. Simply irresistible and Melts In Mouth.",MELT IN MOUTH,1499,TRUE,125 G,/images/bonbon/soulliqo/melt-in-mouth-1.webp
6954f9534587979f3b99d659,Godavari Basin 70% Dark,"70% Dark Chocolate from Godavari Basin, Andhra Pradesh, India combined with cream, crafted to perfection. Simply irresistible and Melts In Mouth",MELT IN MOUTH,1799,TRUE,125 G,/images/bonbon/soulliqo/melt-in-mouth-2.webp
6954f9534587979f3b99d65a,46% Milk,"46% Milk Chocolate combined with cream, crafted to perfection. Simply irresistible and Melts In Mouth.",MELT IN MOUTH,1599,TRUE,125 G,/images/bonbon/soulliqo/melt-in-mouth-3.webp
